"ano_mes_dia","receita_gerada_dia","receita_acumulada_ano"
"2017-12-21",18326.81,6535176.68
"2017-12-22",16470.79,6551647.47
"2017-12-23",13244.05,6564891.52
"2017-12-24",5713.40,6570604.92
"2017-12-25",11010.37,6581615.29
"2017-12-26",21582.64,6603197.93
"2017-12-27",18898.76,6622096.69
"2017-12-28",15197.90,6637294.59
"2017-12-29",16915.94,6654210.53
"2017-12-30",13475.24,6667685.77
"2017-12-31",8719.69,6676405.46
"2018-01-01",7318.60,7318.60
"2018-01-02",27849.49,35168.09
"2018-01-03",33921.25,69089.34
"2018-01-04",34601.21,103690.55
"2018-01-05",30935.76,134626.31
"2018-01-06",29494.68,164120.99
"2018-01-07",32440.55,196561.54
"2018-01-08",42611.59,239173.13
"2018-01-09",29959.63,269132.76
"2018-01-10",46336.71,315469.47
"2018-01-11",51551.10,367020.57
"2018-01-12",34823.76,401844.33
"2018-01-13",28348.18,430192.51
"2018-01-14",31633.05,461825.56
"2018-01-15",38017.51,499843.07
"2018-01-16",48240.50,548083.57
"2018-01-17",34638.57,582722.14
"2018-01-18",29181.53,611903.67
"2018-01-19",31128.69,643032.36
"2018-01-20",23081.10,666113.46
"2018-01-21",25126.51,691239.97
"2018-01-22",41108.50,732348.47
"2018-01-23",36861.88,769210.35
"2018-01-24",34433.64,803643.99
"2018-01-25",30787.46,834431.45
"2018-01-26",36098.21,870529.66
"2018-01-27",25125.73,895655.39
"2018-01-28",24826.26,920481.65
"2018-01-29",34405.66,954887.31
"2018-01-30",37229.06,992116.37
"2018-01-31",33619.90,1025736.27
"2018-02-01",37756.27,1063492.54
"2018-02-02",32502.77,1095995.31
"2018-02-03",23921.70,1119917.01
"2018-02-04",24344.00,1144261.01
"2018-02-05",40398.43,1184659.44
"2018-02-06",37805.72,1222465.16
"2018-02-07",33145.18,1255610.34
"2018-02-08",29348.42,1284958.76
"2018-02-09",32602.44,1317561.20
"2018-02-10",22364.13,1339925.33
"2018-02-11",24474.00,1364399.33
"2018-02-12",27097.31,1391496.64
"2018-02-13",26078.11,1417574.75
"2018-02-14",41797.03,1459371.78
"2018-02-15",32881.57,1492253.35
"2018-02-16",30721.25,1522974.60
"2018-02-17",25462.95,1548437.55
"2018-02-18",27068.05,1575505.60
"2018-02-19",31404.12,1606909.72
"2018-02-20",36211.78,1643121.50
"2018-02-21",36179.28,1679300.78
